category,material_cost,labor_hours,craft_complexity,selling_price,demand_score
Zari Work,445.57,8.5,1,1760.82,97
Zari Work,756.77,21.8,2,3930.22,43
Madhubani,1803.9,14.8,4,4836.7,68
Woodcraft,1000.53,33.5,2,5785.25,83
Zari Work,1368.36,18.4,1,3734.12,73
Zari Work,427.41,11.5,2,2038.91,52
Woodcraft,465.35,25.5,1,3392.19,81
Brassware,177.65,28.9,3,4138.45,48
Woodcraft,420.98,8.3,4,2184.6,81
Madhubani,629.32,8.4,1,2048.46,70
Brassware,436.32,3.4,2,1508.16,46
Terracotta,268.53,30.0,4,4515.49,43
Woodcraft,329.21,27.2,3,4269.78,58
Madhubani,975.48,20.0,4,4306.79,81
Brassware,492.03,34.1,1,5208.25,69
Woodcraft,792.11,32.6,3,5934.86,70
Zari Work,1056.49,24.2,2,5000.5,74
Woodcraft,1411.75,35.0,3,7227.77,96
Terracotta,174.69,9.8,3,1747.43,60
Woodcraft,1618.88,6.3,5,4110.0,70
Brassware,1293.01,12.3,3,3914.15,58
Brassware,255.34,4.2,3,1316.8,70
Woodcraft,1759.8,22.2,4,6259.69,92
Brassware,1849.66,37.6,2,6608.73,71
Zari Work,216.05,3.5,4,1530.68,41
Woodcraft,626.07,6.6,4,2220.27,98
Zari Work,1631.78,19.2,1,4488.57,91
Zari Work,1521.69,37.5,4,7505.53,49
Madhubani,450.59,14.0,5,3247.17,41
Woodcraft,497.76,21.3,5,4042.48,41
Brassware,803.9,3.6,1,1592.42,63
Zari Work,1020.59,7.6,2,2814.91,56
Madhubani,1274.68,39.5,2,6119.59,71
Woodcraft,800.94,38.7,4,6243.77,55
Woodcraft,978.82,2.2,4,2523.51,55
Terracotta,1520.19,38.2,4,7798.41,85
Terracotta,169.7,26.3,2,3601.87,78
Zari Work,579.63,35.0,3,5761.06,92
Terracotta,1455.36,19.3,5,5504.78,70
Zari Work,1800.89,21.6,3,5941.83,82
Brassware,1072.19,20.6,3,4431.3,63
Zari Work,1111.02,27.3,2,4689.93,40
Terracotta,303.63,7.3,3,1731.01,50
Brassware,950.08,3.1,1,1712.63,94
Terracotta,1111.97,13.7,4,3911.5,60
Zari Work,560.69,28.8,1,3828.3,43
Madhubani,611.56,9.7,5,2992.56,46
Woodcraft,816.84,27.6,4,4911.27,65
Terracotta,138.14,38.9,3,5059.86,86
Zari Work,711.95,5.6,5,2775.51,89
Brassware,501.75,27.6,4,4613.68,51
Terracotta,722.24,18.9,3,3382.19,70
Terracotta,327.55,35.0,1,5070.07,56
Woodcraft,1792.0,8.7,4,3699.95,72
Zari Work,1227.83,28.3,3,5782.1,50
Madhubani,1390.29,33.8,1,6339.54,67
Brassware,1599.43,37.9,5,7233.3,71
Zari Work,1047.04,28.0,5,6028.19,40
Brassware,265.15,20.9,5,3777.73,86
Terracotta,1120.5,25.5,5,5366.75,67
Woodcraft,1215.0,35.0,2,5430.22,92
Woodcraft,1516.34,23.7,4,5254.59,81
Madhubani,920.15,3.2,4,2578.57,46
Woodcraft,342.4,37.4,2,5078.11,41
Terracotta,639.17,28.2,3,4766.38,81
Madhubani,789.86,27.7,3,4889.46,63
Zari Work,1327.24,10.2,5,3974.56,43
Woodcraft,1184.48,27.0,1,4402.37,83
Madhubani,776.58,17.0,3,3465.83,58
Terracotta,1974.38,26.7,1,6194.41,65
Brassware,1250.97,6.1,4,2898.98,50
Brassware,550.73,27.0,1,3791.34,79
Terracotta,293.39,40.0,4,5178.69,89
Terracotta,390.43,3.8,2,1326.49,82
Brassware,567.32,39.1,2,6210.01,50
Madhubani,405.29,17.5,5,3178.42,84
Brassware,454.48,35.1,3,4904.75,42
Terracotta,641.68,31.7,5,5279.67,51
Woodcraft,429.41,23.5,4,4312.07,42
Zari Work,1803.85,30.1,5,7059.05,81
Woodcraft,252.44,35.4,1,4572.61,66
Woodcraft,1096.57,17.4,4,4489.62,88
Terracotta,879.75,14.4,2,3303.18,93
Brassware,1966.52,27.4,3,6923.36,41
Madhubani,312.87,32.7,4,5380.28,88
Woodcraft,855.93,31.0,4,5201.18,55
Brassware,1941.99,32.3,1,6157.79,41
Madhubani,1744.46,18.6,3,4589.1,93
Woodcraft,1652.44,33.1,2,6167.16,69
Madhubani,590.02,6.6,4,2582.4,59
Brassware,424.69,22.7,4,3900.18,77
Zari Work,1370.42,2.2,1,2091.91,67
Brassware,1865.81,14.3,5,5385.24,64
Terracotta,1157.85,15.9,2,3795.33,71
Madhubani,1186.06,17.1,3,3788.94,49
Zari Work,631.96,28.4,4,4791.92,81
Madhubani,1562.04,16.8,4,4677.98,79
Madhubani,455.38,19.1,2,3398.97,72
Woodcraft,714.99,11.0,5,2841.24,52
Terracotta,908.33,16.2,4,3648.86,95
Madhubani,1064.46,10.6,2,3030.49,80
Brassware,560.58,4.8,1,1404.06,93
Brassware,318.19,24.9,5,4433.19,81
Woodcraft,1260.18,27.4,3,5405.39,86
Terracotta,648.4,25.5,4,4464.02,76
Terracotta,1204.35,19.6,2,4690.96,93
Brassware,393.29,16.4,1,2708.98,55
Zari Work,1014.17,34.8,3,5465.48,84
Woodcraft,1111.92,21.7,2,4438.04,61
Woodcraft,198.46,20.2,2,3207.61,96
Brassware,739.55,3.0,3,1985.56,59
Brassware,355.39,15.0,1,2225.96,89
Zari Work,220.41,16.4,1,2668.18,82
Zari Work,1980.92,17.2,5,5491.72,66
Terracotta,712.47,24.0,4,4164.02,80
Woodcraft,1638.76,22.3,3,4929.03,55
Woodcraft,583.82,25.1,3,3883.82,73
Brassware,1394.86,31.1,3,6455.55,71
Terracotta,1544.43,32.9,1,5523.48,65
Woodcraft,1231.71,29.3,4,5305.56,64
Terracotta,995.99,38.3,5,7298.14,41
Terracotta,882.5,2.7,2,1785.88,51
Brassware,762.85,9.4,2,2216.98,79
Terracotta,1866.11,2.3,3,2939.53,48
Zari Work,1678.18,26.6,4,5572.71,51
Zari Work,1933.55,36.1,1,6476.56,65
Madhubani,336.16,11.3,4,2630.09,48
Brassware,1488.65,37.2,4,6511.69,49
Madhubani,1882.85,4.3,1,2868.07,71
Zari Work,444.34,37.5,3,5890.26,96
Madhubani,226.34,15.4,4,2984.91,73
Brassware,1508.13,5.9,2,2990.18,87
Brassware,1191.5,20.5,1,4185.22,59
Terracotta,1699.47,11.8,5,4362.1,78
Woodcraft,365.57,12.8,3,2550.44,41
Terracotta,1611.01,13.7,1,3895.51,40
Brassware,483.09,32.5,5,5266.56,90
Zari Work,410.95,22.5,5,4528.81,75
Zari Work,412.11,13.8,4,2606.17,63
Terracotta,1647.69,25.2,4,6251.75,93
Brassware,1363.87,29.2,4,5453.47,66
Zari Work,1093.82,12.4,1,3273.38,41
Brassware,781.78,17.7,1,3371.79,70
Zari Work,1766.68,6.6,3,3947.34,96
Brassware,845.65,8.9,4,2647.63,53
Madhubani,1651.54,27.9,5,6471.15,41
Brassware,934.36,8.9,2,2646.0,68
Brassware,816.19,22.0,3,4415.49,54
Terracotta,979.09,28.9,1,4892.65,51
Madhubani,672.62,6.1,3,2188.96,76
Woodcraft,1520.46,23.6,3,5231.47,67
Terracotta,1055.17,11.7,3,3184.43,59
Woodcraft,541.2,38.6,3,5779.98,78
Zari Work,1809.19,20.4,2,4674.52,63
Woodcraft,829.39,32.6,4,6280.13,60
Brassware,1132.75,22.9,5,5381.61,49
Woodcraft,1822.3,3.6,3,3734.03,85
Terracotta,1286.05,26.1,3,4971.26,53
Terracotta,322.11,38.2,3,5946.32,76
Woodcraft,1885.68,24.9,4,6577.69,57
Terracotta,1292.65,33.1,1,5986.68,63
Terracotta,736.32,35.6,1,5470.82,53
Woodcraft,364.62,10.7,2,2022.63,73
Madhubani,1608.65,10.1,1,3715.85,97
Madhubani,1278.14,25.2,3,5198.82,51
Zari Work,1113.58,17.6,3,3688.66,61
Terracotta,1798.4,33.9,3,6593.35,95
Woodcraft,1598.33,36.2,2,7376.71,45
Terracotta,388.18,15.4,3,3129.23,75
Brassware,692.27,11.0,1,2646.99,84
Terracotta,572.13,31.7,4,5382.4,75
Terracotta,1513.5,12.4,4,3958.42,61
Madhubani,163.71,33.3,5,4683.95,53
Woodcraft,1182.79,18.1,1,3572.36,55
Terracotta,1548.67,27.4,3,5157.44,75
Madhubani,1765.85,5.6,4,3640.15,95
Zari Work,749.96,25.7,1,3880.14,64
Madhubani,1660.39,19.2,4,5075.44,71
Madhubani,310.2,24.3,3,4214.82,72
Madhubani,1708.26,8.4,4,3917.9,84
Terracotta,342.23,30.0,5,5360.07,75
Terracotta,854.85,34.8,5,6306.18,59
Zari Work,1614.86,10.2,4,3839.04,57
Brassware,384.84,5.6,1,1309.78,77
Brassware,535.58,2.9,1,1112.21,42
Brassware,1472.28,26.4,1,4997.43,62
Zari Work,1468.07,25.1,4,5851.95,71
Brassware,1318.18,22.8,1,4121.67,84
Brassware,1418.5,10.8,3,3443.14,98
Madhubani,1131.18,16.9,5,4296.64,55
Terracotta,578.42,24.6,3,4682.76,98
Terracotta,756.82,20.9,1,3859.56,44
Madhubani,445.04,39.5,3,6101.17,43
Madhubani,1826.06,7.2,1,3107.5,60
Madhubani,1208.44,28.4,4,6043.63,79
Terracotta,861.62,17.4,3,3982.7,90
Brassware,977.81,18.3,4,4286.66,53
Madhubani,1899.84,29.3,4,7429.49,78
Zari Work,391.37,28.3,2,4041.52,70
Madhubani,1213.84,39.7,1,7067.27,53
Woodcraft,1061.19,6.9,5,3461.76,45
Madhubani,1261.76,6.0,1,2246.7,51
Terracotta,134.41,29.5,5,4551.14,55
Madhubani,1757.04,24.0,1,5866.5,56
Woodcraft,1871.02,12.4,4,4237.97,84
Zari Work,1173.75,5.0,3,2727.73,62
Brassware,1423.64,5.3,3,3387.74,53
Madhubani,1852.75,36.0,2,7097.9,46
